question,sql
Show all transactions for customer 1,SELECT * FROM transactions WHERE customer_id = 1
List January 2024 transactions,SELECT * FROM transactions WHERE date BETWEEN '2024-01-01' AND '2024-01-31'
Transactions over 500 dollars,SELECT * FROM transactions WHERE amount > 500
Find all grocery purchases,SELECT * FROM transactions WHERE category = 'Groceries'
Show all dining transactions,SELECT * FROM transactions WHERE category = 'Dining'
Transactions for customer 42 in March 2023,SELECT * FROM transactions WHERE customer_id = 42 AND date BETWEEN '2023-03-01' AND '2023-03-31'
Show all credit transactions,SELECT * FROM transactions WHERE is_credit = 1
Find transactions at Amazon,SELECT * FROM transactions WHERE merchant = 'Amazon'
Purchases between 100 and 500 dollars,SELECT * FROM transactions WHERE amount BETWEEN 100 AND 500
List all utility payments,SELECT * FROM transactions WHERE category = 'Utilities'
Total spent by customer 5,SELECT SUM(amount) FROM transactions WHERE customer_id = 5 AND is_credit = 0
How many transactions does customer 10 have,SELECT COUNT(*) FROM transactions WHERE customer_id = 10
Average transaction for customer 3,SELECT AVG(amount) FROM transactions WHERE customer_id = 3
Total grocery spending customer 7,SELECT SUM(amount) FROM transactions WHERE customer_id = 7 AND category = 'Groceries'
Count dining transactions customer 20,SELECT COUNT(*) FROM transactions WHERE customer_id = 20 AND category = 'Dining'
Largest transaction for customer 15,SELECT MAX(amount) FROM transactions WHERE customer_id = 15
Q1 2023 spending customer 8,SELECT SUM(amount) FROM transactions WHERE customer_id = 8 AND date BETWEEN '2023-01-01' AND '2023-03-31' AND is_credit = 0
Transactions by category customer 12,"SELECT category, COUNT(*) FROM transactions WHERE customer_id = 12 GROUP BY category"
Monthly spending customer 2 in 2023,"SELECT strftime('%Y-%m', date) AS month, SUM(amount) FROM transactions WHERE customer_id = 2 AND is_credit = 0 AND date LIKE '2023%' GROUP BY month"
Top 5 merchants customer 9,"SELECT merchant, SUM(amount) AS total FROM transactions WHERE customer_id = 9 AND is_credit = 0 GROUP BY merchant ORDER BY total DESC LIMIT 5"
Customer 1 last 90 days,"SELECT * FROM transactions WHERE customer_id = 1 AND date >= date('now',-90 days')"
Customer 5 April to June 2024,SELECT * FROM transactions WHERE customer_id = 5 AND date BETWEEN '2024-04-01' AND '2024-06-30'
All transactions in 2023,SELECT * FROM transactions WHERE date LIKE '2023%'
Customer 3 Q4 2023,SELECT * FROM transactions WHERE customer_id = 3 AND date BETWEEN '2023-10-01' AND '2023-12-31'
Customer 18 Jan to Mar 2024,SELECT * FROM transactions WHERE customer_id = 18 AND date BETWEEN '2024-01-01' AND '2024-03-31'
Latest 10 transactions customer 7,SELECT * FROM transactions WHERE customer_id = 7 ORDER BY date DESC LIMIT 10
Oldest transaction customer 25,SELECT * FROM transactions WHERE customer_id = 25 ORDER BY date ASC LIMIT 1
This year transactions customer 11,SELECT * FROM transactions WHERE customer_id = 11 AND date >= '2024-01-01'
May 2023 customer 30,SELECT * FROM transactions WHERE customer_id = 30 AND date BETWEEN '2023-05-01' AND '2023-05-31'
Transactions over 1000 customer 4,SELECT * FROM transactions WHERE customer_id = 4 AND amount > 1000
Small transactions under 20 customer 13,SELECT * FROM transactions WHERE customer_id = 13 AND amount < 20
Transactions 200 to 800 customer 22,SELECT * FROM transactions WHERE customer_id = 22 AND amount BETWEEN 200 AND 800
Top 5 purchases customer 17,SELECT * FROM transactions WHERE customer_id = 17 AND is_credit = 0 ORDER BY amount DESC LIMIT 5
Current balance customer 1,"SELECT balance FROM transactions WHERE customer_id = 1 ORDER BY date DESC, txn_id DESC LIMIT 1"
Spending by category customer 14 2024,"SELECT category, SUM(amount) AS total FROM transactions WHERE customer_id = 14 AND is_credit = 0 AND date LIKE '2024%' GROUP BY category ORDER BY total DESC"
Most expensive category customer 19,"SELECT category, SUM(amount) AS total FROM transactions WHERE customer_id = 19 AND is_credit = 0 GROUP BY category ORDER BY total DESC LIMIT 1"
Grocery vs dining customer 5,"SELECT category, SUM(amount) FROM transactions WHERE customer_id = 5 AND category IN ('Groceries','Dining') AND is_credit = 0 GROUP BY category"
