intent,input,output
check-balance,intent: check-balance | entities: account=chequing | user: What is my chequing balance?,Your chequing account balance is available in the mobile app or at any ATM. Is there anything else I can help you with?
check-balance,intent: check-balance | entities: account=savings | user: How much do I have in savings?,Your savings account balance is available in the mobile app. Would you like to do anything else?
check-balance,intent: check-balance | entities: account=all | user: Show me all my account balances,You can view all your account balances by logging into the mobile app or visiting any branch. Shall I help you with anything else?
check-balance,intent: check-balance | entities: account=chequing | user: Can you tell me my chequing balance?,Your chequing account balance is available in the mobile app or at any ATM. Would you like to do anything else?
check-balance,intent: check-balance | entities: account=savings | user: I want to check my savings,Your savings account balance is available in the mobile app under Accounts. Is there anything else I can help you with?
check-balance,intent: check-balance | entities: account=chequing | user: How much money do I have?,Your current chequing balance is available in the mobile app. Would you like to make a transfer or pay a bill?
transfer-funds,"intent: transfer-funds | entities: amount=200, from=chequing, to=savings | user: Transfer $200 from chequing to savings",I have received your request to transfer $200 from your chequing to your savings account. Please confirm to proceed.
transfer-funds,"intent: transfer-funds | entities: amount=500, from=savings, to=chequing | user: Move $500 to my chequing account",Your request to transfer $500 from savings to chequing is ready. Please confirm to complete the transfer.
transfer-funds,"intent: transfer-funds | entities: amount=1000, from=chequing, to=John | user: Send $1000 to John",I have noted your request to send $1000 to John. Please confirm the recipient details and approve to proceed.
transfer-funds,"intent: transfer-funds | entities: amount=300, from=chequing, to=savings | user: I want to move $300 to savings",Your request to transfer $300 from chequing to savings is ready. Please confirm to complete the transfer.
transfer-funds,"intent: transfer-funds | entities: amount=750, from=savings, to=chequing | user: Transfer $750 to my chequing please",I have received your request to transfer $750 from savings to chequing. Please confirm to proceed.
transfer-funds,"intent: transfer-funds | entities: amount=50, from=chequing, to=Mary | user: Send $50 to Mary",Your request to send $50 to Mary is ready. Please confirm the recipient details and approve to proceed.
pay-bill,"intent: pay-bill | entities: payee=Rogers, amount=120 | user: Pay my Rogers bill of $120",Your request to pay $120 to Rogers is ready. Please confirm to complete the payment.
