text,intent
Statement for Jan,GENERATE_STATEMENT
Statement for Feb,GENERATE_STATEMENT
Statement for Mar,GENERATE_STATEMENT
Statement for Apr,GENERATE_STATEMENT
Statement for May,GENERATE_STATEMENT
Statement for Jun,GENERATE_STATEMENT
Statement for Jul,GENERATE_STATEMENT
Statement for Aug,GENERATE_STATEMENT
Statement for Sep,GENERATE_STATEMENT
Statement for Oct,GENERATE_STATEMENT
Statement for Nov,GENERATE_STATEMENT
Statement for Dec,GENERATE_STATEMENT
Bank statement for last month,GENERATE_STATEMENT
Bank statement for last 3 months,GENERATE_STATEMENT
Bank statement for this year,GENERATE_STATEMENT
Bank statement for last year,GENERATE_STATEMENT
Bank statement for Q1,GENERATE_STATEMENT
Bank statement for Q2,GENERATE_STATEMENT
Account history Jan,GENERATE_STATEMENT
Account history Feb,GENERATE_STATEMENT
Account history Mar,GENERATE_STATEMENT
Account history Apr,GENERATE_STATEMENT
Account history May,GENERATE_STATEMENT
Account history Jun,GENERATE_STATEMENT
Account history Jul,GENERATE_STATEMENT
Account history Aug,GENERATE_STATEMENT
Account history Sep,GENERATE_STATEMENT
Account history Oct,GENERATE_STATEMENT
Account history Nov,GENERATE_STATEMENT
Account history Dec,GENERATE_STATEMENT
Account activity for last month,GENERATE_STATEMENT
Account activity for last 3 months,GENERATE_STATEMENT
Account activity for this year,GENERATE_STATEMENT
Account activity for last year,GENERATE_STATEMENT
Account activity for Q1,GENERATE_STATEMENT
Account activity for Q2,GENERATE_STATEMENT
My Jan statement,GENERATE_STATEMENT
My Feb statement,GENERATE_STATEMENT
My Mar statement,GENERATE_STATEMENT
My Apr statement,GENERATE_STATEMENT
My May statement,GENERATE_STATEMENT
My Jun statement,GENERATE_STATEMENT
My Jul statement,GENERATE_STATEMENT
My Aug statement,GENERATE_STATEMENT
My Sep statement,GENERATE_STATEMENT
My Oct statement,GENERATE_STATEMENT
My Nov statement,GENERATE_STATEMENT
My Dec statement,GENERATE_STATEMENT
Statement for Jan,GENERATE_STATEMENT
Statement for Feb,GENERATE_STATEMENT
Statement for Mar,GENERATE_STATEMENT
Statement for Apr,GENERATE_STATEMENT
Statement for May,GENERATE_STATEMENT
Statement for Jun,GENERATE_STATEMENT
Statement for Jul,GENERATE_STATEMENT
Statement for Aug,GENERATE_STATEMENT
Statement for Sep,GENERATE_STATEMENT
Statement for Oct,GENERATE_STATEMENT
Statement for Nov,GENERATE_STATEMENT
Statement for Dec,GENERATE_STATEMENT
Bank statement for last month,GENERATE_STATEMENT
Bank statement for last 3 months,GENERATE_STATEMENT
Bank statement for this year,GENERATE_STATEMENT
Bank statement for last year,GENERATE_STATEMENT
Bank statement for Q1,GENERATE_STATEMENT
Bank statement for Q2,GENERATE_STATEMENT
Account history Jan,GENERATE_STATEMENT
Account history Feb,GENERATE_STATEMENT
Account history Mar,GENERATE_STATEMENT
Account history Apr,GENERATE_STATEMENT
Account history May,GENERATE_STATEMENT
Account history Jun,GENERATE_STATEMENT
Account history Jul,GENERATE_STATEMENT
Account history Aug,GENERATE_STATEMENT
Account history Sep,GENERATE_STATEMENT
Account history Oct,GENERATE_STATEMENT
Account history Nov,GENERATE_STATEMENT
Account history Dec,GENERATE_STATEMENT
Account activity for last month,GENERATE_STATEMENT
Account activity for last 3 months,GENERATE_STATEMENT
Account activity for this year,GENERATE_STATEMENT
Account activity for last year,GENERATE_STATEMENT
Account activity for Q1,GENERATE_STATEMENT
Account activity for Q2,GENERATE_STATEMENT
My Jan statement,GENERATE_STATEMENT
My Feb statement,GENERATE_STATEMENT
My Mar statement,GENERATE_STATEMENT
My Apr statement,GENERATE_STATEMENT
My May statement,GENERATE_STATEMENT
My Jun statement,GENERATE_STATEMENT
My Jul statement,GENERATE_STATEMENT
My Aug statement,GENERATE_STATEMENT
My Sep statement,GENERATE_STATEMENT
My Oct statement,GENERATE_STATEMENT
My Nov statement,GENERATE_STATEMENT
My Dec statement,GENERATE_STATEMENT
Statement for Jan,GENERATE_STATEMENT
Statement for Feb,GENERATE_STATEMENT
Statement for Mar,GENERATE_STATEMENT
Statement for Apr,GENERATE_STATEMENT
Statement for May,GENERATE_STATEMENT
Statement for Jun,GENERATE_STATEMENT
Statement for Jul,GENERATE_STATEMENT
Statement for Aug,GENERATE_STATEMENT
Statement for Sep,GENERATE_STATEMENT
Statement for Oct,GENERATE_STATEMENT
Statement for Nov,GENERATE_STATEMENT
Statement for Dec,GENERATE_STATEMENT
Bank statement for last month,GENERATE_STATEMENT
Bank statement for last 3 months,GENERATE_STATEMENT
Bank statement for this year,GENERATE_STATEMENT
Bank statement for last year,GENERATE_STATEMENT
Bank statement for Q1,GENERATE_STATEMENT
Bank statement for Q2,GENERATE_STATEMENT
Account history Jan,GENERATE_STATEMENT
Account history Feb,GENERATE_STATEMENT
Account history Mar,GENERATE_STATEMENT
Account history Apr,GENERATE_STATEMENT
Account history May,GENERATE_STATEMENT
Account history Jun,GENERATE_STATEMENT
Account history Jul,GENERATE_STATEMENT
Account history Aug,GENERATE_STATEMENT
Account history Sep,GENERATE_STATEMENT
Account history Oct,GENERATE_STATEMENT
Account history Nov,GENERATE_STATEMENT
Account history Dec,GENERATE_STATEMENT
Account activity for last month,GENERATE_STATEMENT
Account activity for last 3 months,GENERATE_STATEMENT
Account activity for this year,GENERATE_STATEMENT
Account activity for last year,GENERATE_STATEMENT
Account activity for Q1,GENERATE_STATEMENT
Account activity for Q2,GENERATE_STATEMENT
My Jan statement,GENERATE_STATEMENT
My Feb statement,GENERATE_STATEMENT
My Mar statement,GENERATE_STATEMENT
My Apr statement,GENERATE_STATEMENT
My May statement,GENERATE_STATEMENT
My Jun statement,GENERATE_STATEMENT
My Jul statement,GENERATE_STATEMENT
My Aug statement,GENERATE_STATEMENT
My Sep statement,GENERATE_STATEMENT
My Oct statement,GENERATE_STATEMENT
My Nov statement,GENERATE_STATEMENT
My Dec statement,GENERATE_STATEMENT
Statement for Jan,GENERATE_STATEMENT
Statement for Feb,GENERATE_STATEMENT
Statement for Mar,GENERATE_STATEMENT
Statement for Apr,GENERATE_STATEMENT
Statement for May,GENERATE_STATEMENT
Statement for Jun,GENERATE_STATEMENT
Purchases over $50,QUERY_TRANSACTIONS
Purchases over $100,QUERY_TRANSACTIONS
Purchases over $200,QUERY_TRANSACTIONS
Purchases over $500,QUERY_TRANSACTIONS
Spent on groceries last month,QUERY_TRANSACTIONS
Spent on dining last month,QUERY_TRANSACTIONS
Spent on shopping last month,QUERY_TRANSACTIONS
Spent on utilities last month,QUERY_TRANSACTIONS
Amazon transactions,QUERY_TRANSACTIONS
TimHortons transactions,QUERY_TRANSACTIONS
AirCanada transactions,QUERY_TRANSACTIONS
Netflix transactions,QUERY_TRANSACTIONS
IKEA transactions,QUERY_TRANSACTIONS
groceries charges for last month,QUERY_TRANSACTIONS
groceries charges for last 3 months,QUERY_TRANSACTIONS
groceries charges for this year,QUERY_TRANSACTIONS
dining charges for last month,QUERY_TRANSACTIONS
dining charges for last 3 months,QUERY_TRANSACTIONS
dining charges for this year,QUERY_TRANSACTIONS
shopping charges for last month,QUERY_TRANSACTIONS
shopping charges for last 3 months,QUERY_TRANSACTIONS
shopping charges for this year,QUERY_TRANSACTIONS
Amazon charges this year,QUERY_TRANSACTIONS
TimHortons charges this year,QUERY_TRANSACTIONS
AirCanada charges this year,QUERY_TRANSACTIONS
Netflix charges this year,QUERY_TRANSACTIONS
IKEA charges this year,QUERY_TRANSACTIONS
Purchases over $50,QUERY_TRANSACTIONS
Purchases over $100,QUERY_TRANSACTIONS
Purchases over $200,QUERY_TRANSACTIONS
Purchases over $500,QUERY_TRANSACTIONS
Spent on groceries last month,QUERY_TRANSACTIONS
Spent on dining last month,QUERY_TRANSACTIONS
Spent on shopping last month,QUERY_TRANSACTIONS
Spent on utilities last month,QUERY_TRANSACTIONS
Amazon transactions,QUERY_TRANSACTIONS
TimHortons transactions,QUERY_TRANSACTIONS
AirCanada transactions,QUERY_TRANSACTIONS
Netflix transactions,QUERY_TRANSACTIONS
IKEA transactions,QUERY_TRANSACTIONS
groceries charges for last month,QUERY_TRANSACTIONS
groceries charges for last 3 months,QUERY_TRANSACTIONS
groceries charges for this year,QUERY_TRANSACTIONS
dining charges for last month,QUERY_TRANSACTIONS
dining charges for last 3 months,QUERY_TRANSACTIONS
dining charges for this year,QUERY_TRANSACTIONS
shopping charges for last month,QUERY_TRANSACTIONS
shopping charges for last 3 months,QUERY_TRANSACTIONS
shopping charges for this year,QUERY_TRANSACTIONS
Amazon charges this year,QUERY_TRANSACTIONS
TimHortons charges this year,QUERY_TRANSACTIONS
AirCanada charges this year,QUERY_TRANSACTIONS
Netflix charges this year,QUERY_TRANSACTIONS
IKEA charges this year,QUERY_TRANSACTIONS
Purchases over $50,QUERY_TRANSACTIONS
Purchases over $100,QUERY_TRANSACTIONS
Purchases over $200,QUERY_TRANSACTIONS
Purchases over $500,QUERY_TRANSACTIONS
Spent on groceries last month,QUERY_TRANSACTIONS
Spent on dining last month,QUERY_TRANSACTIONS
Spent on shopping last month,QUERY_TRANSACTIONS
Spent on utilities last month,QUERY_TRANSACTIONS
Amazon transactions,QUERY_TRANSACTIONS
TimHortons transactions,QUERY_TRANSACTIONS
AirCanada transactions,QUERY_TRANSACTIONS
Netflix transactions,QUERY_TRANSACTIONS
IKEA transactions,QUERY_TRANSACTIONS
groceries charges for last month,QUERY_TRANSACTIONS
groceries charges for last 3 months,QUERY_TRANSACTIONS
groceries charges for this year,QUERY_TRANSACTIONS
dining charges for last month,QUERY_TRANSACTIONS
dining charges for last 3 months,QUERY_TRANSACTIONS
dining charges for this year,QUERY_TRANSACTIONS
shopping charges for last month,QUERY_TRANSACTIONS
shopping charges for last 3 months,QUERY_TRANSACTIONS
shopping charges for this year,QUERY_TRANSACTIONS
Amazon charges this year,QUERY_TRANSACTIONS
TimHortons charges this year,QUERY_TRANSACTIONS
AirCanada charges this year,QUERY_TRANSACTIONS
Netflix charges this year,QUERY_TRANSACTIONS
IKEA charges this year,QUERY_TRANSACTIONS
Purchases over $50,QUERY_TRANSACTIONS
Purchases over $100,QUERY_TRANSACTIONS
Purchases over $200,QUERY_TRANSACTIONS
Purchases over $500,QUERY_TRANSACTIONS
Spent on groceries last month,QUERY_TRANSACTIONS
Spent on dining last month,QUERY_TRANSACTIONS
Spent on shopping last month,QUERY_TRANSACTIONS
Spent on utilities last month,QUERY_TRANSACTIONS
Amazon transactions,QUERY_TRANSACTIONS
TimHortons transactions,QUERY_TRANSACTIONS
AirCanada transactions,QUERY_TRANSACTIONS
Netflix transactions,QUERY_TRANSACTIONS
IKEA transactions,QUERY_TRANSACTIONS
groceries charges for last month,QUERY_TRANSACTIONS
groceries charges for last 3 months,QUERY_TRANSACTIONS
groceries charges for this year,QUERY_TRANSACTIONS
dining charges for last month,QUERY_TRANSACTIONS
dining charges for last 3 months,QUERY_TRANSACTIONS
dining charges for this year,QUERY_TRANSACTIONS
shopping charges for last month,QUERY_TRANSACTIONS
shopping charges for last 3 months,QUERY_TRANSACTIONS
shopping charges for this year,QUERY_TRANSACTIONS
Amazon charges this year,QUERY_TRANSACTIONS
TimHortons charges this year,QUERY_TRANSACTIONS
AirCanada charges this year,QUERY_TRANSACTIONS
Netflix charges this year,QUERY_TRANSACTIONS
IKEA charges this year,QUERY_TRANSACTIONS
Purchases over $50,QUERY_TRANSACTIONS
Purchases over $100,QUERY_TRANSACTIONS
Purchases over $200,QUERY_TRANSACTIONS
Purchases over $500,QUERY_TRANSACTIONS
Spent on groceries last month,QUERY_TRANSACTIONS
Spent on dining last month,QUERY_TRANSACTIONS
Spent on shopping last month,QUERY_TRANSACTIONS
Spent on utilities last month,QUERY_TRANSACTIONS
Amazon transactions,QUERY_TRANSACTIONS
TimHortons transactions,QUERY_TRANSACTIONS
AirCanada transactions,QUERY_TRANSACTIONS
Netflix transactions,QUERY_TRANSACTIONS
IKEA transactions,QUERY_TRANSACTIONS
groceries charges for last month,QUERY_TRANSACTIONS
groceries charges for last 3 months,QUERY_TRANSACTIONS
groceries charges for this year,QUERY_TRANSACTIONS
dining charges for last month,QUERY_TRANSACTIONS
dining charges for last 3 months,QUERY_TRANSACTIONS
dining charges for this year,QUERY_TRANSACTIONS
shopping charges for last month,QUERY_TRANSACTIONS
shopping charges for last 3 months,QUERY_TRANSACTIONS
shopping charges for this year,QUERY_TRANSACTIONS
Amazon charges this year,QUERY_TRANSACTIONS
TimHortons charges this year,QUERY_TRANSACTIONS
AirCanada charges this year,QUERY_TRANSACTIONS
Netflix charges this year,QUERY_TRANSACTIONS
IKEA charges this year,QUERY_TRANSACTIONS
Purchases over $50,QUERY_TRANSACTIONS
Purchases over $100,QUERY_TRANSACTIONS
Purchases over $200,QUERY_TRANSACTIONS
Purchases over $500,QUERY_TRANSACTIONS
Spent on groceries last month,QUERY_TRANSACTIONS
Spent on dining last month,QUERY_TRANSACTIONS
Spent on shopping last month,QUERY_TRANSACTIONS
Spent on utilities last month,QUERY_TRANSACTIONS
Amazon transactions,QUERY_TRANSACTIONS
TimHortons transactions,QUERY_TRANSACTIONS
AirCanada transactions,QUERY_TRANSACTIONS
Netflix transactions,QUERY_TRANSACTIONS
IKEA transactions,QUERY_TRANSACTIONS
groceries charges for last month,QUERY_TRANSACTIONS
groceries charges for last 3 months,QUERY_TRANSACTIONS
How change PIN,HELP
Branch hours,HELP
Dispute transaction,HELP
Minimum balance,HELP
Report lost card,HELP
Wire fees,HELP
E-transfer time,HELP
Direct deposit,HELP
Freeze card,HELP
Close account,HELP
Update address,HELP
NSF fee,HELP
E-statements,HELP
RRSP limits,HELP
Joint account,HELP
TFSA room,HELP
Travel notification,HELP
Bill payments,HELP
Credit cards,HELP
Mortgage options,HELP
Rewards points,HELP
Overdraft limit,HELP
Credit limit increase,HELP
ID to open account,HELP
Cancel pre-auth debit,HELP
ATM limits,HELP
Replace card,HELP
Fraud protection,HELP
Auto-deposit etransfer,HELP
GIC rates,HELP
How change PIN,HELP
Branch hours,HELP
Dispute transaction,HELP
Minimum balance,HELP
Report lost card,HELP
Wire fees,HELP
E-transfer time,HELP
Direct deposit,HELP
Freeze card,HELP
Close account,HELP
Update address,HELP
NSF fee,HELP
E-statements,HELP
RRSP limits,HELP
Joint account,HELP
TFSA room,HELP
Travel notification,HELP
Bill payments,HELP
Credit cards,HELP
Mortgage options,HELP
Rewards points,HELP
Overdraft limit,HELP
Credit limit increase,HELP
ID to open account,HELP
Cancel pre-auth debit,HELP
ATM limits,HELP
Replace card,HELP
Fraud protection,HELP
Auto-deposit etransfer,HELP
GIC rates,HELP
How change PIN,HELP
Branch hours,HELP
Dispute transaction,HELP
Minimum balance,HELP
Report lost card,HELP
Wire fees,HELP
E-transfer time,HELP
Direct deposit,HELP
Freeze card,HELP
Close account,HELP
Update address,HELP
NSF fee,HELP
E-statements,HELP
RRSP limits,HELP
Joint account,HELP
TFSA room,HELP
Travel notification,HELP
Bill payments,HELP
Credit cards,HELP
Mortgage options,HELP
Rewards points,HELP
Overdraft limit,HELP
Credit limit increase,HELP
ID to open account,HELP
Cancel pre-auth debit,HELP
ATM limits,HELP
Replace card,HELP
Fraud protection,HELP
Auto-deposit etransfer,HELP
GIC rates,HELP
How change PIN,HELP
Branch hours,HELP
Dispute transaction,HELP
Minimum balance,HELP
Report lost card,HELP
Wire fees,HELP
E-transfer time,HELP
Direct deposit,HELP
Freeze card,HELP
Close account,HELP
Update address,HELP
NSF fee,HELP
E-statements,HELP
RRSP limits,HELP
Joint account,HELP
TFSA room,HELP
Travel notification,HELP
Bill payments,HELP
Credit cards,HELP
Mortgage options,HELP
Rewards points,HELP
Overdraft limit,HELP
Credit limit increase,HELP
ID to open account,HELP
Cancel pre-auth debit,HELP
ATM limits,HELP
Replace card,HELP
Fraud protection,HELP
Auto-deposit etransfer,HELP
GIC rates,HELP
How change PIN,HELP
Branch hours,HELP
Dispute transaction,HELP
Minimum balance,HELP
Report lost card,HELP
Wire fees,HELP
E-transfer time,HELP
Direct deposit,HELP
Freeze card,HELP
Close account,HELP
Update address,HELP
NSF fee,HELP
E-statements,HELP
RRSP limits,HELP
Joint account,HELP
TFSA room,HELP
Travel notification,HELP
Bill payments,HELP
Credit cards,HELP
Mortgage options,HELP
Rewards points,HELP
Overdraft limit,HELP
Credit limit increase,HELP
ID to open account,HELP
Cancel pre-auth debit,HELP
ATM limits,HELP
Replace card,HELP
Fraud protection,HELP
Auto-deposit etransfer,HELP
GIC rates,HELP
Download Jan transactions CSV,DOWNLOAD_CSV
Download Feb transactions CSV,DOWNLOAD_CSV
Download Mar transactions CSV,DOWNLOAD_CSV
Download Apr transactions CSV,DOWNLOAD_CSV
Download May transactions CSV,DOWNLOAD_CSV
Download Jun transactions CSV,DOWNLOAD_CSV
Download Jul transactions CSV,DOWNLOAD_CSV
Download Aug transactions CSV,DOWNLOAD_CSV
Download Sep transactions CSV,DOWNLOAD_CSV
Download Oct transactions CSV,DOWNLOAD_CSV
Download Nov transactions CSV,DOWNLOAD_CSV
Download Dec transactions CSV,DOWNLOAD_CSV
Export last month activity CSV,DOWNLOAD_CSV
Export last 3 months activity CSV,DOWNLOAD_CSV
Export this year activity CSV,DOWNLOAD_CSV
Export last year activity CSV,DOWNLOAD_CSV
Export Q1 activity CSV,DOWNLOAD_CSV
Export Q2 activity CSV,DOWNLOAD_CSV
CSV of Jan statement,DOWNLOAD_CSV
CSV of Feb statement,DOWNLOAD_CSV
CSV of Mar statement,DOWNLOAD_CSV
CSV of Apr statement,DOWNLOAD_CSV
CSV of May statement,DOWNLOAD_CSV
CSV of Jun statement,DOWNLOAD_CSV
CSV of Jul statement,DOWNLOAD_CSV
CSV of Aug statement,DOWNLOAD_CSV
CSV of Sep statement,DOWNLOAD_CSV
CSV of Oct statement,DOWNLOAD_CSV
CSV of Nov statement,DOWNLOAD_CSV
CSV of Dec statement,DOWNLOAD_CSV
Export account data for last month,DOWNLOAD_CSV
Export account data for last 3 months,DOWNLOAD_CSV
Export account data for this year,DOWNLOAD_CSV
Export account data for last year,DOWNLOAD_CSV
Export account data for Q1,DOWNLOAD_CSV
Export account data for Q2,DOWNLOAD_CSV
Get groceries CSV,DOWNLOAD_CSV
Get dining CSV,DOWNLOAD_CSV
Get shopping CSV,DOWNLOAD_CSV
Get utilities CSV,DOWNLOAD_CSV
Download Jan transactions CSV,DOWNLOAD_CSV
Download Feb transactions CSV,DOWNLOAD_CSV
Download Mar transactions CSV,DOWNLOAD_CSV
Download Apr transactions CSV,DOWNLOAD_CSV
Download May transactions CSV,DOWNLOAD_CSV
Download Jun transactions CSV,DOWNLOAD_CSV
Download Jul transactions CSV,DOWNLOAD_CSV
Download Aug transactions CSV,DOWNLOAD_CSV
Download Sep transactions CSV,DOWNLOAD_CSV
Download Oct transactions CSV,DOWNLOAD_CSV
Download Nov transactions CSV,DOWNLOAD_CSV
Download Dec transactions CSV,DOWNLOAD_CSV
Export last month activity CSV,DOWNLOAD_CSV
Export last 3 months activity CSV,DOWNLOAD_CSV
Export this year activity CSV,DOWNLOAD_CSV
Export last year activity CSV,DOWNLOAD_CSV
Export Q1 activity CSV,DOWNLOAD_CSV
Export Q2 activity CSV,DOWNLOAD_CSV
CSV of Jan statement,DOWNLOAD_CSV
CSV of Feb statement,DOWNLOAD_CSV
