id,text,intent,source
Q0001,Show the correlation between SPY and ESGV over 5 years.,DATA_QUERY,template
Q0002,Can you explain the investment strategy behind Aggressive Growth?,QUALITATIVE,template
Q0003,I didn't understand the output — can you explain it again?,CLARIFICATION,template
Q0004,My 66-year-old client has high risk tolerance and a 7-year horizon. What portfolio do you suggest?,RECOMMENDATION,template
Q0005,What is the ideal portfolio for someone aged 43 with a high risk profile and 3-year investment horizon?,RECOMMENDATION,template
Q0006,What is a Sharpe ratio and why does it matter?,QUALITATIVE,template
Q0007,What is the difference between ESG-Tilt Balanced and Aggressive Growth?,QUALITATIVE,template
Q0008,Is the 10-year CAGR the same as the average annual return?,CLARIFICATION,template
Q0009,"Suggest an investment strategy for a 40-year-old, high risk, $500,000, 3 years.",RECOMMENDATION,template
Q0010,"Client wants high risk, is 57 years old, has 3-year horizon. What do you recommend?",RECOMMENDATION,template
Q0011,"Recommend a portfolio for: age=58, risk=high, investment=$100,000, horizon=5 years.",RECOMMENDATION,template
Q0012,What percentage of years did Capital Preservation outperform the S&P 500?,DATA_QUERY,template
Q0013,What is the difference between investment horizon and time to retirement?,CLARIFICATION,template
Q0014,"My client has $100,000 to invest. They are 29 years old with very low risk tolerance. Suggest a portfolio.",RECOMMENDATION,template
Q0015,Chart the returns of all five portfolios since 2019.,DATA_QUERY,template
Q0016,I didn't understand the output — can you explain it again?,CLARIFICATION,template
Q0017,Is the 10-year CAGR the same as the average annual return?,CLARIFICATION,template
Q0018,What benchmark was used for the comparison?,CLARIFICATION,template
Q0019,Can you clarify what ESG preference means for the recommendation?,CLARIFICATION,template
Q0020,Is the client age used to determine the portfolio or just the risk tolerance?,CLARIFICATION,template
Q0021,Can you repeat that recommendation with the ESG filter turned off?,CLARIFICATION,template
Q0022,How does the portfolio rebalance over time?,QUALITATIVE,template
Q0023,What is the typical asset allocation for a moderate-risk investor?,QUALITATIVE,template
Q0024,"Suggest an investment strategy for a 55-year-old, high risk, $200,000, 7 years.",RECOMMENDATION,template
Q0025,"My client has $100,000 to invest. They are 43 years old with low risk tolerance. Suggest a portfolio.",RECOMMENDATION,template
Q0026,How does the portfolio rebalance over time?,QUALITATIVE,template
Q0027,How did AGG perform last year?,DATA_QUERY,template
Q0028,What is the role of REITs in the Balanced Growth portfolio?,QUALITATIVE,template
Q0029,"Suggest an investment strategy for a 33-year-old, moderate risk, $50,000, 20 years.",RECOMMENDATION,template
Q0030,Could you explain the confidence score in the recommendation?,CLARIFICATION,template
Q0031,How does the ESG-Tilt Balanced portfolio respond to rising interest rates?,QUALITATIVE,template
Q0032,How has ESGV performed since 2015?,DATA_QUERY,template
Q0033,What is the difference between Capital Preservation and Capital Preservation?,QUALITATIVE,template
Q0034,"Client profile: age 64, very low risk, 20 years to retirement, $200,000 available. Best portfolio?",RECOMMENDATION,template
Q0035,Can you show the same data as a table instead of a chart?,CLARIFICATION,template
Q0036,"When you say moderate risk, what does that mean exactly?",CLARIFICATION,template
Q0037,Compare Capital Preservation vs Balanced Growth over the past 10 years.,DATA_QUERY,template
Q0038,Is the client age used to determine the portfolio or just the risk tolerance?,CLARIFICATION,template
Q0039,What percentage of years did Conservative Income outperform the S&P 500?,DATA_QUERY,template
Q0040,What was the best performing portfolio in 2023?,DATA_QUERY,template
Q0041,"What portfolio fits a 43-year-old with low risk tolerance and $200,000 to invest over 20 years?",RECOMMENDATION,template
Q0042,What is the ideal portfolio for someone aged 46 with a very low risk profile and 5-year investment horizon?,RECOMMENDATION,template
Q0043,What is the role of REITs in the Balanced Growth portfolio?,QUALITATIVE,template
Q0044,What do you mean by a 10-year horizon — is that until retirement?,CLARIFICATION,template
Q0045,Show me the 5-year performance of Aggressive Growth vs S&P 500.,DATA_QUERY,template
Q0046,Compare Capital Preservation vs Balanced Growth over the past 10 years.,DATA_QUERY,template
Q0047,"Suggest an investment strategy for a 48-year-old, very high risk, $200,000, 20 years.",RECOMMENDATION,template
Q0048,"Client profile: near retirement, 43 years old, high risk, needs income. Best portfolio?",RECOMMENDATION,template
Q0049,"Client profile: age 49, low risk, 3 years to retirement, $200,000 available. Best portfolio?",RECOMMENDATION,template
Q0050,How often are these portfolios rebalanced?,QUALITATIVE,template
Q0051,Is the annual return you showed inflation-adjusted?,CLARIFICATION,template
Q0052,"My client has $50,000 to invest. They are 31 years old with very high risk tolerance. Suggest a portfolio.",RECOMMENDATION,template
Q0053,Is the client age used to determine the portfolio or just the risk tolerance?,CLARIFICATION,template
Q0054,What is the average annual return of the Capital Preservation portfolio?,DATA_QUERY,template
Q0055,Are those returns before or after fees?,CLARIFICATION,template
Q0056,My 42-year-old client has high risk tolerance and a 3-year horizon. What portfolio do you suggest?,RECOMMENDATION,template
Q0057,Give me the year-by-year returns for the Balanced Growth portfolio.,DATA_QUERY,template
Q0058,Can you repeat that recommendation with the ESG filter turned off?,CLARIFICATION,template
Q0059,Can you explain the investment strategy behind Aggressive Growth?,QUALITATIVE,template
Q0060,Show me monthly returns for GLD in 2016.,DATA_QUERY,template
Q0061,What does 'blended return' mean in this context?,CLARIFICATION,template
Q0062,What macroeconomic conditions favour the Capital Preservation portfolio?,QUALITATIVE,template
Q0063,What would you recommend for a 54-year-old conservative investor with 15 years to retirement?,RECOMMENDATION,template
Q0064,"How much would $100,000 invested in Conservative Income in 2016 be worth today?",DATA_QUERY,template
Q0065,"My client has $200,000 to invest. They are 47 years old with moderate risk tolerance. Suggest a portfolio.",RECOMMENDATION,template
Q0066,My 25-year-old client has very high risk tolerance and a 3-year horizon. What portfolio do you suggest?,RECOMMENDATION,template
Q0067,What was the worst year for the Aggressive Growth portfolio?,DATA_QUERY,template
Q0068,What is the Sharpe ratio of the Balanced Growth portfolio?,DATA_QUERY,template
Q0069,How did the ESG-Tilt portfolio perform during the 2022 market downturn?,DATA_QUERY,template
Q0070,"Recommend a portfolio for: age=33, risk=moderate, investment=$25,000, horizon=5 years.",RECOMMENDATION,template
